Evaluation Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Evaluated File;Average Measured
30-06-2020 09:38:47;OD600;1;1;1;C:\Tecan\Assays\Data\OD600_2020_06_30_09_36_38.xlsx;-4,99999150633812E-03
30-06-2020 09:47:22;OD600;2;1;2;C:\Tecan\Assays\Data\OD600_2020_06_30_09_45_12.xlsx;-1,14999897778034E-02
30-06-2020 10:12:11;OD600;1;2;3;C:\Tecan\Assays\Data\OD600_2020_06_30_10_10_02.xlsx;-3,50000336766243E-03
30-06-2020 10:22:51;OD600;2;2;4;C:\Tecan\Assays\Data\OD600_2020_06_30_10_20_41.xlsx;-6,4999982714653E-03
30-06-2020 10:48:35;OD600;1;3;1;C:\Tecan\Assays\Data\OD600_2020_06_30_10_46_26.xlsx;-8,49999487400055E-03
30-06-2020 10:57:12;OD600;2;3;2;C:\Tecan\Assays\Data\OD600_2020_06_30_10_55_03.xlsx;-2,35000066459179E-02
30-06-2020 11:23:12;OD600;1;4;3;C:\Tecan\Assays\Data\OD600_2020_06_30_11_21_03.xlsx;-7,00000673532486E-03
30-06-2020 11:31:49;OD600;2;4;4;C:\Tecan\Assays\Data\OD600_2020_06_30_11_29_40.xlsx;-1,05000101029873E-02
30-06-2020 11:59:44;OD600;1;5;1;C:\Tecan\Assays\Data\OD600_2020_06_30_11_57_34.xlsx;-4,99989837408066E-04
30-06-2020 12:08:20;OD600;2;5;2;C:\Tecan\Assays\Data\OD600_2020_06_30_12_06_11.xlsx;-8,50001350045204E-03
30-06-2020 12:35:04;OD600;1;6;3;C:\Tecan\Assays\Data\OD600_2020_06_30_12_32_54.xlsx;-2,00001522898674E-03
30-06-2020 12:43:41;OD600;2;6;4;C:\Tecan\Assays\Data\OD600_2020_06_30_12_41_32.xlsx;-1,00000016391277E-02
30-06-2020 13:09:22;OD600;1;7;1;C:\Tecan\Assays\Data\OD600_2020_06_30_13_07_13.xlsx;-5,00008463859558E-04
30-06-2020 13:18:00;OD600;2;7;2;C:\Tecan\Assays\Data\OD600_2020_06_30_13_15_51.xlsx;-1,80000066757202E-02
30-06-2020 13:44:43;OD600;1;8;3;C:\Tecan\Assays\Data\OD600_2020_06_30_13_42_33.xlsx;-1,50000676512718E-03
30-06-2020 13:53:20;OD600;2;8;4;C:\Tecan\Assays\Data\OD600_2020_06_30_13_51_11.xlsx;-0,023999996483326
30-06-2020 14:19:02;OD600;1;9;1;C:\Tecan\Assays\Data\OD600_2020_06_30_14_16_52.xlsx;-3,9999932050705E-03
30-06-2020 14:27:38;OD600;2;9;2;C:\Tecan\Assays\Data\OD600_2020_06_30_14_25_29.xlsx;-0,023999996483326
30-06-2020 14:52:22;OD600;1;10;3;C:\Tecan\Assays\Data\OD600_2020_06_30_14_50_13.xlsx;-9,99998301267624E-04
30-06-2020 15:02:58;OD600;2;10;4;C:\Tecan\Assays\Data\OD600_2020_06_30_15_00_49.xlsx;-3,69999930262566E-02
30-06-2020 15:28:44;OD600;1;11;1;C:\Tecan\Assays\Data\OD600_2020_06_30_15_26_34.xlsx;-1,00001692771912E-03
30-06-2020 15:37:20;OD600;2;11;2;C:\Tecan\Assays\Data\OD600_2020_06_30_15_35_11.xlsx;-0,049000009894371
30-06-2020 16:02:05;OD600;1;12;3;C:\Tecan\Assays\Data\OD600_2020_06_30_15_59_55.xlsx;0
30-06-2020 16:12:46;OD600;2;12;4;C:\Tecan\Assays\Data\OD600_2020_06_30_16_10_36.xlsx;-0,056999996304512
30-06-2020 16:36:26;OD600;1;13;1;C:\Tecan\Assays\Data\OD600_2020_06_30_16_34_17.xlsx;-9,99998301267624E-04
30-06-2020 16:47:04;OD600;2;13;2;C:\Tecan\Assays\Data\OD600_2020_06_30_16_44_54.xlsx;-8,29999893903732E-02
30-06-2020 17:11:47;OD600;1;14;3;C:\Tecan\Assays\Data\OD600_2020_06_30_17_09_37.xlsx;-2,99999490380287E-03
30-06-2020 17:20:25;OD600;2;14;4;C:\Tecan\Assays\Data\OD600_2020_06_30_17_18_15.xlsx;-9,04999859631062E-02
30-06-2020 17:46:10;OD600;1;15;1;C:\Tecan\Assays\Data\OD600_2020_06_30_17_44_01.xlsx;-7,49999657273293E-03
30-06-2020 17:54:47;OD600;2;15;2;C:\Tecan\Assays\Data\OD600_2020_06_30_17_52_37.xlsx;-0,123999994248152
30-06-2020 18:21:35;OD600;1;16;3;C:\Tecan\Assays\Data\OD600_2020_06_30_18_19_25.xlsx;-2,00001522898674E-03
30-06-2020 18:30:12;OD600;2;16;4;C:\Tecan\Assays\Data\OD600_2020_06_30_18_28_02.xlsx;-0,131999999284744
30-06-2020 18:58:00;OD600;1;17;1;C:\Tecan\Assays\Data\OD600_2020_06_30_18_55_50.xlsx;-1,50000676512718E-03
30-06-2020 19:06:37;OD600;2;17;2;C:\Tecan\Assays\Data\OD600_2020_06_30_19_04_27.xlsx;-0,166499987244606
30-06-2020 19:31:25;OD600;1;18;3;C:\Tecan\Assays\Data\OD600_2020_06_30_19_29_15.xlsx;-2,50000506639481E-03
30-06-2020 19:42:05;OD600;2;18;4;C:\Tecan\Assays\Data\OD600_2020_06_30_19_39_55.xlsx;-0,184999983757734
30-06-2020 20:07:39;OD600;1;19;1;C:\Tecan\Assays\Data\OD600_2020_06_30_20_05_30.xlsx;-2,50000506639481E-03
30-06-2020 20:16:16;OD600;2;19;2;C:\Tecan\Assays\Data\OD600_2020_06_30_20_14_06.xlsx;-0,198499988764524
30-06-2020 20:43:00;OD600;1;20;3;C:\Tecan\Assays\Data\OD600_2020_06_30_20_40_50.xlsx;-1,49998813867569E-03
30-06-2020 20:51:38;OD600;2;20;4;C:\Tecan\Assays\Data\OD600_2020_06_30_20_49_28.xlsx;-0,230000000447035
30-06-2020 21:17:20;OD600;1;21;1;C:\Tecan\Assays\Data\OD600_2020_06_30_21_15_10.xlsx;-1,99999660253525E-03
30-06-2020 21:25:57;OD600;2;21;2;C:\Tecan\Assays\Data\OD600_2020_06_30_21_23_48.xlsx;-0,244999993592501
30-06-2020 21:52:44;OD600;1;22;3;C:\Tecan\Assays\Data\OD600_2020_06_30_21_50_34.xlsx;-2,50000506639481E-03
30-06-2020 22:01:21;OD600;2;22;4;C:\Tecan\Assays\Data\OD600_2020_06_30_21_59_12.xlsx;-0,247499980032444
30-06-2020 22:27:05;OD600;1;23;1;C:\Tecan\Assays\Data\OD600_2020_06_30_22_24_55.xlsx;-4,99989837408066E-04
30-06-2020 22:35:42;OD600;2;23;2;C:\Tecan\Assays\Data\OD600_2020_06_30_22_33_32.xlsx;-0,273500010371208
30-06-2020 23:00:30;OD600;1;24;3;C:\Tecan\Assays\Data\OD600_2020_06_30_22_58_20.xlsx;-4,50000166893005E-03
30-06-2020 23:09:07;OD600;2;24;4;C:\Tecan\Assays\Data\OD600_2020_06_30_23_06_57.xlsx;-0,279499981552362
30-06-2020 23:36:48;OD600;1;25;1;C:\Tecan\Assays\Data\OD600_2020_06_30_23_34_38.xlsx;-7,99998641014099E-03
30-06-2020 23:45:25;OD600;2;25;2;C:\Tecan\Assays\Data\OD600_2020_06_30_23_43_15.xlsx;-0,270499996840954
01-07-2020 00:10:06;OD600;1;26;3;C:\Tecan\Assays\Data\OD600_2020_07_01_00_07_56.xlsx;-1,99999660253525E-03
01-07-2020 00:20:45;OD600;2;26;4;C:\Tecan\Assays\Data\OD600_2020_07_01_00_18_35.xlsx;-0,30799999833107
01-07-2020 00:44:24;OD600;1;27;1;C:\Tecan\Assays\Data\OD600_2020_07_01_00_42_14.xlsx;-9,99998301267624E-04
01-07-2020 00:55:01;OD600;2;27;2;C:\Tecan\Assays\Data\OD600_2020_07_01_00_52_51.xlsx;-0,279500000178814
01-07-2020 01:19:43;OD600;1;28;3;C:\Tecan\Assays\Data\OD600_2020_07_01_01_17_34.xlsx;-2,99999490380287E-03
01-07-2020 01:28:21;OD600;2;28;4;C:\Tecan\Assays\Data\OD600_2020_07_01_01_26_11.xlsx;-0,296499989926815
