Evaluation Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Evaluated File;Average Measured
26-11-2019 13:40:13;OD600;1;1;1;C:\Tecan\Assays\Data\OD600_2019_11_26_13_38_04.xlsx;5,96874859184027E-03
26-11-2019 13:49:56;OD600;3;1;2;C:\Tecan\Assays\Data\OD600_2019_11_26_13_47_48.xlsx;6,09375070780516E-03
26-11-2019 14:15:52;OD600;1;2;3;C:\Tecan\Assays\Data\OD600_2019_11_26_14_13_43.xlsx;3,00000072456896E-03
26-11-2019 14:25:35;OD600;3;2;4;C:\Tecan\Assays\Data\OD600_2019_11_26_14_23_27.xlsx;5,28125441633165E-03
26-11-2019 14:52:26;OD600;1;3;1;C:\Tecan\Assays\Data\OD600_2019_11_26_14_50_17.xlsx;1,20625004637986E-02
26-11-2019 15:02:09;OD600;3;3;2;C:\Tecan\Assays\Data\OD600_2019_11_26_15_00_00.xlsx;1,18750019464642E-02
26-11-2019 15:28:03;OD600;1;4;3;C:\Tecan\Assays\Data\OD600_2019_11_26_15_25_54.xlsx;0,017125002341345
26-11-2019 15:37:47;OD600;3;4;4;C:\Tecan\Assays\Data\OD600_2019_11_26_15_35_38.xlsx;1,48125016130507E-02
26-11-2019 16:04:41;OD600;1;5;1;C:\Tecan\Assays\Data\OD600_2019_11_26_16_02_32.xlsx;1,61562522407621E-02
26-11-2019 16:14:24;OD600;3;5;2;C:\Tecan\Assays\Data\OD600_2019_11_26_16_12_15.xlsx;1,92812480963767E-02
26-11-2019 16:40:17;OD600;1;6;3;C:\Tecan\Assays\Data\OD600_2019_11_26_16_38_08.xlsx;3,40624956879765E-02
26-11-2019 16:50:02;OD600;3;6;4;C:\Tecan\Assays\Data\OD600_2019_11_26_16_47_53.xlsx;0,030406245496124
26-11-2019 17:16:51;OD600;1;7;1;C:\Tecan\Assays\Data\OD600_2019_11_26_17_14_43.xlsx;3,64062516018748E-02
26-11-2019 17:26:36;OD600;3;7;2;C:\Tecan\Assays\Data\OD600_2019_11_26_17_24_27.xlsx;3,70312505401671E-02
26-11-2019 17:52:29;OD600;1;8;3;C:\Tecan\Assays\Data\OD600_2019_11_26_17_50_21.xlsx;8,47187521867454E-02
26-11-2019 18:02:13;OD600;3;8;4;C:\Tecan\Assays\Data\OD600_2019_11_26_18_00_04.xlsx;5,28125022538006E-02
26-11-2019 18:29:05;OD600;1;9;1;C:\Tecan\Assays\Data\OD600_2019_11_26_18_26_56.xlsx;0,14365624403581
26-11-2019 18:38:49;OD600;3;9;2;C:\Tecan\Assays\Data\OD600_2019_11_26_18_36_41.xlsx;7,69062503241003E-02
26-11-2019 19:04:37;OD600;1;10;3;C:\Tecan\Assays\Data\OD600_2019_11_26_19_02_28.xlsx;0,210593750234693
26-11-2019 19:14:21;OD600;3;10;4;C:\Tecan\Assays\Data\OD600_2019_11_26_19_12_12.xlsx;9,62499959859997E-02
26-11-2019 19:41:14;OD600;1;11;1;C:\Tecan\Assays\Data\OD600_2019_11_26_19_39_05.xlsx;0,315406245645136
26-11-2019 19:50:58;OD600;3;11;2;C:\Tecan\Assays\Data\OD600_2019_11_26_19_48_50.xlsx;0,111374999396503
26-11-2019 20:23:22;OD600;1;12;3;C:\Tecan\Assays\Data\OD600_2019_11_26_20_21_13.xlsx;0,468031249474734
26-11-2019 20:59:18;OD600;1;13;4;C:\Tecan\Assays\Data\OD600_2019_11_26_20_57_09.xlsx;0,662718745879829
26-11-2019 21:36:04;OD600;1;14;1;C:\Tecan\Assays\Data\OD600_2019_11_26_21_33_55.xlsx;0,807906244881451
26-11-2019 22:11:53;OD600;1;15;2;C:\Tecan\Assays\Data\OD600_2019_11_26_22_09_44.xlsx;0,857343743555248
26-11-2019 22:47:45;OD600;1;16;3;C:\Tecan\Assays\Data\OD600_2019_11_26_22_45_36.xlsx;0,88593749795109
26-11-2019 23:23:35;OD600;1;17;4;C:\Tecan\Assays\Data\OD600_2019_11_26_23_21_26.xlsx;0,938718756660819
