Evaluation Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Evaluated File;Average Measured
09-07-2020 20:41:59;OD600;1;1;1;C:\Tecan\Assays\Data\OD600_2020_07_09_20_39_51.xlsx;0,744574993848801
09-07-2020 20:50:29;OD600;2;1;2;C:\Tecan\Assays\Data\OD600_2020_07_09_20_48_22.xlsx;0,706299996934831
09-07-2020 20:59:02;OD600;3;1;3;C:\Tecan\Assays\Data\OD600_2020_07_09_20_56_54.xlsx;0,515800010412931
09-07-2020 21:15:36;OD600;1;2;4;C:\Tecan\Assays\Data\OD600_2020_07_09_21_13_28.xlsx;0,751974996179342
09-07-2020 21:33:09;OD600;3;2;1;C:\Tecan\Assays\Data\OD600_2020_07_09_21_31_01.xlsx;0,569149994291365
09-07-2020 21:49:41;OD600;1;3;2;C:\Tecan\Assays\Data\OD600_2020_07_09_21_47_33.xlsx;0,771625004708767
09-07-2020 21:58:12;OD600;2;2;3;C:\Tecan\Assays\Data\OD600_2020_07_09_21_56_04.xlsx;0,796075001358986
09-07-2020 22:08:46;OD600;3;3;4;C:\Tecan\Assays\Data\OD600_2020_07_09_22_06_38.xlsx;0,640050012618303
09-07-2020 22:24:14;OD600;1;4;1;C:\Tecan\Assays\Data\OD600_2020_07_09_22_22_06.xlsx;0,817200008779764
09-07-2020 22:51:56;OD600;3;4;2;C:\Tecan\Assays\Data\OD600_2020_07_09_22_49_48.xlsx;0,700300009921193
09-07-2020 23:02:28;OD600;2;3;3;C:\Tecan\Assays\Data\OD600_2020_07_09_23_00_21.xlsx;1,0191999906674
09-07-2020 23:30:12;OD600;3;5;4;C:\Tecan\Assays\Data\OD600_2020_07_09_23_28_05.xlsx;0,648424976505339
10-07-2020 00:05:50;OD600;3;6;1;C:\Tecan\Assays\Data\OD600_2020_07_10_00_03_42.xlsx;0,648424986749887
10-07-2020 00:40:28;OD600;3;7;2;C:\Tecan\Assays\Data\OD600_2020_07_10_00_38_21.xlsx;0,58042499423027
10-07-2020 01:15:10;OD600;3;8;3;C:\Tecan\Assays\Data\OD600_2020_07_10_01_13_02.xlsx;0,573824998922646
10-07-2020 01:49:49;OD600;3;9;4;C:\Tecan\Assays\Data\OD600_2020_07_10_01_47_41.xlsx;0,645475011318922
10-07-2020 02:25:27;OD600;3;10;1;C:\Tecan\Assays\Data\OD600_2020_07_10_02_23_19.xlsx;0,671724990941584
10-07-2020 03:00:09;OD600;3;11;2;C:\Tecan\Assays\Data\OD600_2020_07_10_02_58_02.xlsx;0,683674988336861
10-07-2020 03:34:53;OD600;3;12;3;C:\Tecan\Assays\Data\OD600_2020_07_10_03_32_45.xlsx;0,714575012214482
10-07-2020 04:09:35;OD600;3;13;4;C:\Tecan\Assays\Data\OD600_2020_07_10_04_07_27.xlsx;0,729774982668459
10-07-2020 04:45:14;OD600;3;14;1;C:\Tecan\Assays\Data\OD600_2020_07_10_04_43_07.xlsx;0,714799983426929
10-07-2020 05:19:56;OD600;3;15;2;C:\Tecan\Assays\Data\OD600_2020_07_10_05_17_48.xlsx;0,834774993360043
