Sampling Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Dilution Factor
09-07-2020 15:40:36;OD600;1;1;1;5
09-07-2020 15:42:44;OD450;1;1;1;5
09-07-2020 15:49:06;OD600;2;1;2;5
09-07-2020 15:51:14;OD450;2;1;2;5
09-07-2020 15:57:40;OD600;3;1;3;5
09-07-2020 15:59:48;OD450;3;1;3;5
09-07-2020 16:14:17;OD600;1;2;4;5
09-07-2020 16:16:25;OD450;1;2;4;5
09-07-2020 16:31:55;OD600;3;2;1;5
09-07-2020 16:34:03;OD450;3;2;1;5
09-07-2020 16:48:31;OD600;1;3;2;5
09-07-2020 16:50:39;OD450;1;3;2;5
09-07-2020 16:57:03;OD600;2;2;3;5
09-07-2020 16:59:11;OD450;2;2;3;5
09-07-2020 17:05:37;OD600;3;3;4;5
09-07-2020 17:07:45;OD450;3;3;4;5
09-07-2020 17:23:10;OD600;1;4;1;5
09-07-2020 17:25:18;OD450;1;4;1;5
09-07-2020 17:39:52;OD600;3;4;2;5
09-07-2020 17:42:00;OD450;3;4;2;5
09-07-2020 17:58:32;OD600;1;5;3;5
09-07-2020 18:00:40;OD450;1;5;3;5
09-07-2020 18:07:04;OD600;2;3;4;5
09-07-2020 18:09:12;OD450;2;3;4;5
09-07-2020 18:16:35;OD600;3;5;1;5
09-07-2020 18:18:43;OD450;3;5;1;5
09-07-2020 18:33:11;OD600;1;6;2;5
09-07-2020 18:35:19;OD450;1;6;2;5
09-07-2020 18:51:56;OD600;3;6;3;5
09-07-2020 18:54:04;OD450;3;6;3;5
09-07-2020 19:08:33;OD600;1;7;4;5
09-07-2020 19:10:41;OD450;1;7;4;5
