Evaluation Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Evaluated File;Average Measured
28-08-2020 15:21:20;OD600;1;1;1;C:\Tecan\Assays\Data\OD600_2020_08_28_15_19_11.xlsx;1,74999237060547E-03
28-08-2020 15:29:52;OD600;2;1;2;C:\Tecan\Assays\Data\OD600_2020_08_28_15_27_44.xlsx;-3,24999913573265E-03
28-08-2020 15:56:31;OD600;1;2;3;C:\Tecan\Assays\Data\OD600_2020_08_28_15_54_22.xlsx;-2,50004231929779E-04
28-08-2020 16:05:04;OD600;2;2;4;C:\Tecan\Assays\Data\OD600_2020_08_28_16_02_56.xlsx;-8,74998979270458E-03
28-08-2020 16:32:43;OD600;1;3;1;C:\Tecan\Assays\Data\OD600_2020_08_28_16_30_35.xlsx;4,99999150633812E-04
28-08-2020 16:41:17;OD600;2;3;2;C:\Tecan\Assays\Data\OD600_2020_08_28_16_39_09.xlsx;-1,2500025331974E-03
28-08-2020 17:08:00;OD600;1;4;3;C:\Tecan\Assays\Data\OD600_2020_08_28_17_05_52.xlsx;0
28-08-2020 17:16:33;OD600;2;4;4;C:\Tecan\Assays\Data\OD600_2020_08_28_17_14_24.xlsx;2,50004231929779E-04
28-08-2020 17:42:05;OD600;1;5;1;C:\Tecan\Assays\Data\OD600_2020_08_28_17_39_57.xlsx;1,50001607835293E-03
28-08-2020 17:50:38;OD600;2;5;2;C:\Tecan\Assays\Data\OD600_2020_08_28_17_48_30.xlsx;-1,2500025331974E-03
28-08-2020 18:15:16;OD600;1;6;3;C:\Tecan\Assays\Data\OD600_2020_08_28_18_13_08.xlsx;-9,99998301267624E-04
28-08-2020 18:25:48;OD600;2;6;4;C:\Tecan\Assays\Data\OD600_2020_08_28_18_23_40.xlsx;-5,25000505149364E-03
28-08-2020 18:51:28;OD600;1;7;1;C:\Tecan\Assays\Data\OD600_2020_08_28_18_49_19.xlsx;-4,24998812377453E-03
28-08-2020 19:00:02;OD600;2;7;2;C:\Tecan\Assays\Data\OD600_2020_08_28_18_57_53.xlsx;7,50000588595867E-03
28-08-2020 19:26:38;OD600;1;8;3;C:\Tecan\Assays\Data\OD600_2020_08_28_19_24_29.xlsx;4,74999658763409E-03
28-08-2020 19:35:11;OD600;2;8;4;C:\Tecan\Assays\Data\OD600_2020_08_28_19_33_02.xlsx;6,74999319016933E-03
28-08-2020 20:02:46;OD600;1;9;1;C:\Tecan\Assays\Data\OD600_2020_08_28_20_00_37.xlsx;4,74999658763409E-03
28-08-2020 20:11:18;OD600;2;9;2;C:\Tecan\Assays\Data\OD600_2020_08_28_20_09_10.xlsx;6,99999742209911E-03
28-08-2020 20:37:56;OD600;1;10;3;C:\Tecan\Assays\Data\OD600_2020_08_28_20_35_47.xlsx;3,9999932050705E-03
28-08-2020 20:46:26;OD600;2;10;4;C:\Tecan\Assays\Data\OD600_2020_08_28_20_44_17.xlsx;7,00000673532486E-03
28-08-2020 21:12:01;OD600;1;11;1;C:\Tecan\Assays\Data\OD600_2020_08_28_21_09_53.xlsx;-1,32500007748604E-02
28-08-2020 21:20:33;OD600;2;11;2;C:\Tecan\Assays\Data\OD600_2020_08_28_21_18_25.xlsx;3,24999913573265E-03
28-08-2020 21:45:08;OD600;1;12;3;C:\Tecan\Assays\Data\OD600_2020_08_28_21_43_00.xlsx;8,49999487400055E-03
28-08-2020 21:55:42;OD600;2;12;4;C:\Tecan\Assays\Data\OD600_2020_08_28_21_53_34.xlsx;0,014249999076128
28-08-2020 22:21:19;OD600;1;13;1;C:\Tecan\Assays\Data\OD600_2020_08_28_22_19_10.xlsx;8,00000503659248E-03
