	Sample_ID	calc_gr	calc_volumeloss	Species	Drop_out	Dilution
0	BS1.0_A1	TRUE	FALSE	Sheilas	FALSE	5
1	BS1.0_B1	TRUE	FALSE	Sheilas	FALSE	5
2	BS1.0_C1	TRUE	FALSE	Sheilas	FALSE	5
3	BS1.0_D1	TRUE	FALSE	Sheilas	FALSE	5
4	BS1.0_E1	TRUE	FALSE	Sheilas	FALSE	5
5	BS1.0_F1	TRUE	FALSE	Sheilas	FALSE	5
6	BS1.0_G1	TRUE	FALSE	Sheilas	FALSE	5
7	BS1.0_H1	TRUE	FALSE	Sheilas	FALSE	5
8	BS1.0_A2	TRUE	FALSE	Sheilas	FALSE	5
9	BS1.0_B2	TRUE	FALSE	Sheilas	FALSE	5
10	BS1.0_C2	TRUE	FALSE	Sheilas	FALSE	5
11	BS1.0_D2	TRUE	FALSE	Sheilas	FALSE	5
12	BS1.0_E2	TRUE	FALSE	Sheilas	FALSE	5
13	BS1.0_F2	TRUE	FALSE	Sheilas	FALSE	5
14	BS1.0_G2	TRUE	FALSE	Sheilas	FALSE	5
15	BS1.0_H2	TRUE	FALSE	Sheilas	FALSE	5
16	BS1.0_A3	TRUE	FALSE	Sheilas	FALSE	5
17	BS1.0_B3	TRUE	FALSE	Sheilas	FALSE	5
18	BS1.0_C3	TRUE	FALSE	Sheilas	FALSE	5
19	BS1.0_D3	TRUE	FALSE	Sheilas	FALSE	5
20	BS1.0_E3	TRUE	FALSE	Sheilas	FALSE	5
21	BS1.0_F3	TRUE	FALSE	Sheilas	FALSE	5
22	BS1.0_G3	TRUE	FALSE	Sheilas	FALSE	5
23	BS1.0_H3	TRUE	FALSE	Sheilas	FALSE	5
24	BS1.0_A4	TRUE	FALSE	Sheilas	FALSE	5
25	BS1.0_B4	TRUE	FALSE	Sheilas	FALSE	5
26	BS1.0_C4	TRUE	FALSE	Sheilas	FALSE	5
27	BS1.0_D4	TRUE	FALSE	Sheilas	FALSE	5
28	BS1.0_E4	TRUE	FALSE	Sheilas	FALSE	5
29	BS1.0_F4	TRUE	FALSE	Sheilas	FALSE	5
30	BS1.0_G4	TRUE	FALSE	Sheilas	FALSE	5
31	BS1.0_H4	TRUE	FALSE	Sheilas	FALSE	5
32	BS1.0_A5	TRUE	FALSE	Sheilas	FALSE	5
33	BS1.0_B5	TRUE	FALSE	Sheilas	FALSE	5
34	BS1.0_C5	TRUE	FALSE	Sheilas	FALSE	5
35	BS1.0_D5	TRUE	FALSE	Sheilas	FALSE	5
36	BS1.0_E5	TRUE	FALSE	Sheilas	FALSE	5
37	BS1.0_F5	TRUE	FALSE	Sheilas	FALSE	5
38	BS1.0_G5	TRUE	FALSE	Sheilas	FALSE	5
39	BS1.0_H5	TRUE	FALSE	Sheilas	FALSE	5
40	BS1.0_A6	TRUE	FALSE	Sheilas	FALSE	5
41	BS1.0_B6	TRUE	FALSE	Sheilas	FALSE	5
42	BS1.0_C6	TRUE	FALSE	Sheilas	FALSE	5
43	BS1.0_D6	TRUE	FALSE	Sheilas	FALSE	5
44	BS1.0_E6	TRUE	FALSE	Sheilas	FALSE	5
45	BS1.0_F6	TRUE	FALSE	Sheilas	FALSE	5
46	BS1.0_G6	TRUE	FALSE	Sheilas	FALSE	5
47	BS1.0_H6	TRUE	FALSE	Sheilas	FALSE	5
48	BS1.0_A7	TRUE	FALSE	MG1655	FALSE	5
49	BS1.0_B7	TRUE	FALSE	MG1655	FALSE	5
50	BS1.0_C7	TRUE	FALSE	MG1655	FALSE	5
51	BS1.0_D7	TRUE	FALSE	MG1655	FALSE	5
52	BS1.0_E7	TRUE	FALSE	MG1655	FALSE	5
53	BS1.0_F7	TRUE	FALSE	MG1655	FALSE	5
54	BS1.0_G7	TRUE	FALSE	MG1655	FALSE	5
55	BS1.0_H7	TRUE	FALSE	MG1655	FALSE	5
56	BS1.0_A8	TRUE	FALSE	MG1655	FALSE	5
57	BS1.0_B8	TRUE	FALSE	MG1655	FALSE	5
58	BS1.0_C8	TRUE	FALSE	MG1655	FALSE	5
59	BS1.0_D8	TRUE	FALSE	MG1655	FALSE	5
60	BS1.0_E8	TRUE	FALSE	MG1655	FALSE	5
61	BS1.0_F8	TRUE	FALSE	MG1655	FALSE	5
62	BS1.0_G8	TRUE	FALSE	MG1655	FALSE	5
63	BS1.0_H8	TRUE	FALSE	MG1655	FALSE	5
64	BS1.0_A9	TRUE	FALSE	MG1655	FALSE	5
65	BS1.0_B9	TRUE	FALSE	MG1655	FALSE	5
66	BS1.0_C9	TRUE	FALSE	MG1655	FALSE	5
67	BS1.0_D9	TRUE	FALSE	MG1655	FALSE	5
68	BS1.0_E9	TRUE	FALSE	MG1655	FALSE	5
69	BS1.0_F9	TRUE	FALSE	MG1655	FALSE	5
70	BS1.0_G9	TRUE	FALSE	MG1655	FALSE	5
71	BS1.0_H9	TRUE	FALSE	MG1655	FALSE	5
72	BS1.0_A10	TRUE	FALSE	MG1655	FALSE	5
73	BS1.0_B10	TRUE	FALSE	MG1655	FALSE	5
74	BS1.0_C10	TRUE	FALSE	MG1655	FALSE	5
75	BS1.0_D10	TRUE	FALSE	MG1655	FALSE	5
76	BS1.0_E10	TRUE	FALSE	MG1655	FALSE	5
77	BS1.0_F10	TRUE	FALSE	MG1655	FALSE	5
78	BS1.0_G10	TRUE	FALSE	MG1655	FALSE	5
79	BS1.0_H10	TRUE	FALSE	MG1655	FALSE	5
80	BS1.0_A11	TRUE	FALSE	MG1655	FALSE	5
81	BS1.0_B11	TRUE	FALSE	MG1655	FALSE	5
82	BS1.0_C11	TRUE	FALSE	MG1655	FALSE	5
83	BS1.0_D11	TRUE	FALSE	MG1655	FALSE	5
84	BS1.0_E11	TRUE	FALSE	MG1655	FALSE	5
85	BS1.0_F11	TRUE	FALSE	MG1655	FALSE	5
86	BS1.0_G11	TRUE	FALSE	MG1655	FALSE	5
87	BS1.0_H11	TRUE	FALSE	MG1655	FALSE	5
88	BS1.0_A12	TRUE	FALSE	BlM9	FALSE	5
89	BS1.0_B12	TRUE	FALSE	BlM9	FALSE	5
90	BS1.0_C12	TRUE	FALSE	BlM9	FALSE	5
91	BS1.0_D12	TRUE	FALSE	BlM9	FALSE	5
92	BS1.0_E12	FALSE	TRUE	Orange G	FALSE	5
93	BS1.0_F12	FALSE	TRUE	Orange G	FALSE	5
94	BS1.0_G12	FALSE	TRUE	Orange G	TRUE	5
95	BS1.0_H12	FALSE	TRUE	Orange G	FALSE	5
96	BS2.0_A1	TRUE	FALSE	Sheilas	FALSE	5
97	BS2.0_B1	TRUE	FALSE	Sheilas	FALSE	5
98	BS2.0_C1	TRUE	FALSE	Sheilas	FALSE	5
99	BS2.0_D1	TRUE	FALSE	Sheilas	FALSE	5
100	BS2.0_E1	TRUE	FALSE	Sheilas	FALSE	5
101	BS2.0_F1	TRUE	FALSE	Sheilas	FALSE	5
102	BS2.0_G1	TRUE	FALSE	Sheilas	FALSE	5
103	BS2.0_H1	TRUE	FALSE	Sheilas	FALSE	5
104	BS2.0_A2	TRUE	FALSE	Sheilas	FALSE	5
105	BS2.0_B2	TRUE	FALSE	Sheilas	FALSE	5
106	BS2.0_C2	TRUE	FALSE	Sheilas	FALSE	5
107	BS2.0_D2	TRUE	FALSE	Sheilas	FALSE	5
108	BS2.0_E2	TRUE	FALSE	Sheilas	FALSE	5
109	BS2.0_F2	TRUE	FALSE	Sheilas	FALSE	5
110	BS2.0_G2	TRUE	FALSE	Sheilas	FALSE	5
111	BS2.0_H2	TRUE	FALSE	Sheilas	FALSE	5
112	BS2.0_A3	TRUE	FALSE	Sheilas	FALSE	5
113	BS2.0_B3	TRUE	FALSE	Sheilas	FALSE	5
114	BS2.0_C3	TRUE	FALSE	Sheilas	FALSE	5
115	BS2.0_D3	TRUE	FALSE	Sheilas	FALSE	5
116	BS2.0_E3	TRUE	FALSE	Sheilas	FALSE	5
117	BS2.0_F3	TRUE	FALSE	Sheilas	FALSE	5
118	BS2.0_G3	TRUE	FALSE	Sheilas	FALSE	5
119	BS2.0_H3	TRUE	FALSE	Sheilas	FALSE	5
120	BS2.0_A4	TRUE	FALSE	Sheilas	FALSE	5
121	BS2.0_B4	TRUE	FALSE	Sheilas	FALSE	5
122	BS2.0_C4	TRUE	FALSE	Sheilas	FALSE	5
123	BS2.0_D4	TRUE	FALSE	Sheilas	FALSE	5
124	BS2.0_E4	TRUE	FALSE	Sheilas	FALSE	5
125	BS2.0_F4	TRUE	FALSE	Sheilas	FALSE	5
126	BS2.0_G4	TRUE	FALSE	Sheilas	FALSE	5
127	BS2.0_H4	TRUE	FALSE	Sheilas	FALSE	5
128	BS2.0_A5	TRUE	FALSE	Sheilas	FALSE	5
129	BS2.0_B5	TRUE	FALSE	Sheilas	FALSE	5
130	BS2.0_C5	TRUE	FALSE	Sheilas	FALSE	5
131	BS2.0_D5	TRUE	FALSE	Sheilas	FALSE	5
132	BS2.0_E5	TRUE	FALSE	Sheilas	FALSE	5
133	BS2.0_F5	TRUE	FALSE	Sheilas	FALSE	5
134	BS2.0_G5	TRUE	FALSE	Sheilas	FALSE	5
135	BS2.0_H5	TRUE	FALSE	Sheilas	FALSE	5
136	BS2.0_A6	TRUE	FALSE	Sheilas	FALSE	5
137	BS2.0_B6	TRUE	FALSE	Sheilas	FALSE	5
138	BS2.0_C6	TRUE	FALSE	Sheilas	FALSE	5
139	BS2.0_D6	TRUE	FALSE	Sheilas	FALSE	5
140	BS2.0_E6	TRUE	FALSE	Sheilas	FALSE	5
141	BS2.0_F6	TRUE	FALSE	Sheilas	FALSE	5
142	BS2.0_G6	TRUE	FALSE	Sheilas	FALSE	5
143	BS2.0_H6	TRUE	FALSE	Sheilas	FALSE	5
144	BS2.0_A7	TRUE	FALSE	MG1655	FALSE	5
145	BS2.0_B7	TRUE	FALSE	MG1655	FALSE	5
146	BS2.0_C7	TRUE	FALSE	MG1655	FALSE	5
147	BS2.0_D7	TRUE	FALSE	MG1655	FALSE	5
148	BS2.0_E7	TRUE	FALSE	MG1655	FALSE	5
149	BS2.0_F7	TRUE	FALSE	MG1655	FALSE	5
150	BS2.0_G7	TRUE	FALSE	MG1655	FALSE	5
151	BS2.0_H7	TRUE	FALSE	MG1655	FALSE	5
152	BS2.0_A8	TRUE	FALSE	MG1655	FALSE	5
153	BS2.0_B8	TRUE	FALSE	MG1655	FALSE	5
154	BS2.0_C8	TRUE	FALSE	MG1655	FALSE	5
155	BS2.0_D8	TRUE	FALSE	MG1655	FALSE	5
156	BS2.0_E8	TRUE	FALSE	MG1655	FALSE	5
157	BS2.0_F8	TRUE	FALSE	MG1655	FALSE	5
158	BS2.0_G8	TRUE	FALSE	MG1655	FALSE	5
159	BS2.0_H8	TRUE	FALSE	MG1655	FALSE	5
160	BS2.0_A9	TRUE	FALSE	MG1655	FALSE	5
161	BS2.0_B9	TRUE	FALSE	MG1655	FALSE	5
162	BS2.0_C9	TRUE	FALSE	MG1655	FALSE	5
163	BS2.0_D9	TRUE	FALSE	MG1655	FALSE	5
164	BS2.0_E9	TRUE	FALSE	MG1655	FALSE	5
165	BS2.0_F9	TRUE	FALSE	MG1655	FALSE	5
166	BS2.0_G9	TRUE	FALSE	MG1655	FALSE	5
167	BS2.0_H9	TRUE	FALSE	MG1655	FALSE	5
168	BS2.0_A10	TRUE	FALSE	MG1655	FALSE	5
169	BS2.0_B10	TRUE	FALSE	MG1655	FALSE	5
170	BS2.0_C10	TRUE	FALSE	MG1655	FALSE	5
171	BS2.0_D10	TRUE	FALSE	MG1655	FALSE	5
172	BS2.0_E10	TRUE	FALSE	MG1655	FALSE	5
173	BS2.0_F10	TRUE	FALSE	MG1655	FALSE	5
174	BS2.0_G10	TRUE	FALSE	MG1655	FALSE	5
175	BS2.0_H10	TRUE	FALSE	MG1655	FALSE	5
176	BS2.0_A11	TRUE	FALSE	MG1655	FALSE	5
177	BS2.0_B11	TRUE	FALSE	MG1655	FALSE	5
178	BS2.0_C11	TRUE	FALSE	MG1655	FALSE	5
179	BS2.0_D11	TRUE	FALSE	MG1655	FALSE	5
180	BS2.0_E11	TRUE	FALSE	MG1655	FALSE	5
181	BS2.0_F11	TRUE	FALSE	MG1655	FALSE	5
182	BS2.0_G11	TRUE	FALSE	MG1655	FALSE	5
183	BS2.0_H11	TRUE	FALSE	MG1655	FALSE	5
184	BS2.0_A12	TRUE	FALSE	BlM9	FALSE	5
185	BS2.0_B12	TRUE	FALSE	BlM9	FALSE	5
186	BS2.0_C12	TRUE	FALSE	BlM9	FALSE	5
187	BS2.0_D12	TRUE	FALSE	BlM9	FALSE	5
188	BS2.0_E12	FALSE	TRUE	Orange G	FALSE	5
189	BS2.0_F12	FALSE	TRUE	Orange G	FALSE	5
190	BS2.0_G12	FALSE	TRUE	Orange G	FALSE	5
191	BS2.0_H12	FALSE	TRUE	Orange G	FALSE	5
