Sampling Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate
19-07-2019 16:18:28;OD600;1;1;1
19-07-2019 16:20:37;OD450;1;1;1
19-07-2019 16:22:42;FLUO;1;1;1
19-07-2019 16:29:04;OD600;3;1;2
19-07-2019 16:31:13;OD450;3;1;2
19-07-2019 16:33:18;FLUO;3;1;2
19-07-2019 19:39:39;OD600;1;2;3
19-07-2019 19:41:47;OD450;1;2;3
19-07-2019 19:43:53;FLUO;1;2;3
19-07-2019 19:50:13;OD600;3;2;4
19-07-2019 19:52:22;OD450;3;2;4
19-07-2019 19:54:28;FLUO;3;2;4
19-07-2019 23:01:44;OD600;1;3;1
19-07-2019 23:03:53;OD450;1;3;1
19-07-2019 23:05:58;FLUO;1;3;1
19-07-2019 23:12:19;OD600;3;3;2
19-07-2019 23:14:28;OD450;3;3;2
19-07-2019 23:16:33;FLUO;3;3;2
20-07-2019 02:22:55;OD600;1;4;3
20-07-2019 02:25:04;OD450;1;4;3
20-07-2019 02:27:09;FLUO;1;4;3
20-07-2019 02:33:30;OD600;3;4;4
20-07-2019 02:35:39;OD450;3;4;4
20-07-2019 02:37:44;FLUO;3;4;4
20-07-2019 05:44:59;OD600;1;5;1
20-07-2019 05:47:08;OD450;1;5;1
20-07-2019 05:49:13;FLUO;1;5;1
20-07-2019 05:55:34;OD600;3;5;2
20-07-2019 05:57:43;OD450;3;5;2
20-07-2019 05:59:48;FLUO;3;5;2
20-07-2019 09:06:08;OD600;1;6;3
20-07-2019 09:08:17;OD450;1;6;3
20-07-2019 09:10:23;FLUO;1;6;3
20-07-2019 09:16:43;OD600;3;6;4
20-07-2019 09:18:51;OD450;3;6;4
20-07-2019 09:20:57;FLUO;3;6;4
20-07-2019 12:28:13;OD600;1;7;1
20-07-2019 12:30:22;OD450;1;7;1
20-07-2019 12:32:27;FLUO;1;7;1
20-07-2019 12:38:48;OD600;3;7;2
20-07-2019 12:40:56;OD450;3;7;2
20-07-2019 12:43:02;FLUO;3;7;2
20-07-2019 15:51:59;OD600;1;8;3
20-07-2019 15:54:08;OD450;1;8;3
20-07-2019 15:56:13;FLUO;1;8;3
20-07-2019 16:02:34;OD600;3;8;4
20-07-2019 16:04:43;OD450;3;8;4
20-07-2019 16:06:48;FLUO;3;8;4
20-07-2019 19:14:05;OD600;1;9;1
20-07-2019 19:16:13;OD450;1;9;1
20-07-2019 19:18:19;FLUO;1;9;1
20-07-2019 19:24:39;OD600;3;9;2
20-07-2019 19:26:48;OD450;3;9;2
20-07-2019 19:28:53;FLUO;3;9;2
20-07-2019 22:35:13;OD600;1;10;3
20-07-2019 22:37:22;OD450;1;10;3
20-07-2019 22:39:27;FLUO;1;10;3
20-07-2019 22:45:48;OD600;3;10;4
20-07-2019 22:47:57;OD450;3;10;4
20-07-2019 22:50:02;FLUO;3;10;4
21-07-2019 01:57:20;OD600;1;11;1
21-07-2019 01:59:29;OD450;1;11;1
21-07-2019 02:01:35;FLUO;1;11;1
21-07-2019 02:07:55;OD600;3;11;2
21-07-2019 02:10:04;OD450;3;11;2
21-07-2019 02:12:10;FLUO;3;11;2
21-07-2019 05:18:30;OD600;1;12;3
21-07-2019 05:20:39;OD450;1;12;3
21-07-2019 05:22:44;FLUO;1;12;3
21-07-2019 05:29:05;OD600;3;12;4
21-07-2019 05:31:14;OD450;3;12;4
21-07-2019 05:33:20;FLUO;3;12;4
21-07-2019 08:40:37;OD600;1;13;1
21-07-2019 08:42:46;OD450;1;13;1
21-07-2019 08:44:51;FLUO;1;13;1
21-07-2019 08:51:11;OD600;3;13;2
21-07-2019 08:53:20;OD450;3;13;2
21-07-2019 08:55:26;FLUO;3;13;2
21-07-2019 12:01:46;OD600;1;14;3
21-07-2019 12:03:55;OD450;1;14;3
21-07-2019 12:06:01;FLUO;1;14;3
21-07-2019 12:12:22;OD600;3;14;4
21-07-2019 12:14:30;OD450;3;14;4
21-07-2019 12:16:36;FLUO;3;14;4
21-07-2019 15:23:54;OD600;1;15;1
21-07-2019 15:26:02;OD450;1;15;1
21-07-2019 15:28:08;FLUO;1;15;1
21-07-2019 15:34:28;OD600;3;15;2
21-07-2019 15:36:37;OD450;3;15;2
21-07-2019 15:38:42;FLUO;3;15;2
21-07-2019 18:45:02;OD600;1;16;3
21-07-2019 18:47:11;OD450;1;16;3
21-07-2019 18:49:17;FLUO;1;16;3
21-07-2019 18:55:37;OD600;3;16;4
21-07-2019 18:57:46;OD450;3;16;4
21-07-2019 18:59:51;FLUO;3;16;4
21-07-2019 22:07:06;OD600;1;17;1
21-07-2019 22:09:15;OD450;1;17;1
21-07-2019 22:11:20;FLUO;1;17;1
21-07-2019 22:17:41;OD600;3;17;2
21-07-2019 22:19:50;OD450;3;17;2
21-07-2019 22:21:55;FLUO;3;17;2
22-07-2019 01:28:15;OD600;1;18;3
22-07-2019 01:30:23;OD450;1;18;3
22-07-2019 01:32:29;FLUO;1;18;3
22-07-2019 01:38:49;OD600;3;18;4
22-07-2019 01:40:58;OD450;3;18;4
22-07-2019 01:43:03;FLUO;3;18;4
22-07-2019 04:46:49;Experiment Finished;;18;
