Evaluation Time for status;Bioshaker Processed;Filter Plate ID;Target OD for Metabolomics;Average Measured;Ready Or Not
19-07-2019 16:25:16;1;1;10;8,62501095980406E-03;0
19-07-2019 16:35:52;3;1;10;9,12500079721212E-03;0
19-07-2019 19:46:27;1;1;10;3,33750061690807E-02;0
19-07-2019 19:57:02;3;1;10;3,46250087022781E-02;0
19-07-2019 23:08:32;1;1;10;0,169000010937452;0
19-07-2019 23:19:07;3;1;10;0,191374993883073;0
20-07-2019 02:29:43;1;1;10;0,584999998100102;0
20-07-2019 02:40:18;3;1;10;0,678750001825392;0
20-07-2019 05:51:47;1;1;10;0,960625014267862;0
20-07-2019 06:02:22;3;1;10;0,964500005356967;0
20-07-2019 09:12:57;1;1;10;1,05562497396022;0
20-07-2019 09:23:31;3;1;10;1,11399998888373;0
20-07-2019 12:35:01;1;1;10;1,21462501585484;0
20-07-2019 12:45:36;3;1;10;1,28299998585135;0
20-07-2019 15:58:47;1;1;10;1,44987502135336;0
20-07-2019 16:09:22;3;1;10;1,50349999312311;0
20-07-2019 19:20:53;1;1;10;1,6907500103116;0
20-07-2019 19:31:27;3;1;10;1,87312496826053;0
20-07-2019 22:42:01;1;1;10;1,85074997134507;0
20-07-2019 22:52:36;3;1;10;1,86687499284744;0
21-07-2019 02:04:09;1;1;10;1,85262499842793;0
21-07-2019 02:14:44;3;1;10;1,94262501783669;0
21-07-2019 05:25:18;1;1;10;1,93600000347942;0
21-07-2019 05:35:54;3;1;10;1,97662497870624;0
21-07-2019 08:47:25;1;1;10;1,99924997985363;0
21-07-2019 08:58:00;3;1;10;2,04787500202656;0
21-07-2019 12:08:35;1;1;10;2,10975002963096;0
21-07-2019 12:19:10;3;1;10;2,18037499114871;0
21-07-2019 15:30:42;1;1;10;2,11487502325326;0
21-07-2019 15:41:16;3;1;10;2,12437503039837;0
21-07-2019 18:51:51;1;1;10;2,24162504076958;0
21-07-2019 19:02:25;3;1;10;2,21262497827411;0
21-07-2019 22:13:54;1;1;10;2,33712502289563;0
21-07-2019 22:24:29;3;1;10;2,37674994859844;0
22-07-2019 01:35:03;1;1;10;1,8298750417307;0
22-07-2019 01:45:37;3;1;10;2,55312496330589;0
