Sampling Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Dilution Factor
26-11-2019 13:38:04;OD600;1;1;1;5
26-11-2019 13:40:13;OD450;1;1;1;5
26-11-2019 13:47:47;OD600;3;1;2;5
26-11-2019 13:49:56;OD450;3;1;2;5
26-11-2019 14:13:42;OD600;1;2;3;5
26-11-2019 14:15:52;OD450;1;2;3;5
26-11-2019 14:23:26;OD600;3;2;4;5
26-11-2019 14:25:35;OD450;3;2;4;5
26-11-2019 14:50:17;OD600;1;3;1;5
26-11-2019 14:52:26;OD450;1;3;1;5
26-11-2019 15:00:00;OD600;3;3;2;5
26-11-2019 15:02:09;OD450;3;3;2;5
26-11-2019 15:25:53;OD600;1;4;3;5
26-11-2019 15:28:03;OD450;1;4;3;5
26-11-2019 15:35:38;OD600;3;4;4;5
26-11-2019 15:37:47;OD450;3;4;4;5
26-11-2019 16:02:32;OD600;1;5;1;5
26-11-2019 16:04:41;OD450;1;5;1;5
26-11-2019 16:12:14;OD600;3;5;2;5
26-11-2019 16:14:24;OD450;3;5;2;5
26-11-2019 16:38:08;OD600;1;6;3;5
26-11-2019 16:40:17;OD450;1;6;3;5
26-11-2019 16:47:53;OD600;3;6;4;5
26-11-2019 16:50:02;OD450;3;6;4;5
26-11-2019 17:14:42;OD600;1;7;1;5
26-11-2019 17:16:52;OD450;1;7;1;5
26-11-2019 17:24:26;OD600;3;7;2;5
26-11-2019 17:26:36;OD450;3;7;2;5
26-11-2019 17:50:20;OD600;1;8;3;5
26-11-2019 17:52:29;OD450;1;8;3;5
26-11-2019 18:00:04;OD600;3;8;4;5
26-11-2019 18:02:13;OD450;3;8;4;5
26-11-2019 18:26:56;OD600;1;9;1;5
26-11-2019 18:29:05;OD450;1;9;1;5
26-11-2019 18:36:41;OD600;3;9;2;5
26-11-2019 18:38:50;OD450;3;9;2;5
26-11-2019 19:02:28;OD600;1;10;3;5
26-11-2019 19:04:37;OD450;1;10;3;5
26-11-2019 19:12:12;OD600;3;10;4;5
26-11-2019 19:14:21;OD450;3;10;4;5
26-11-2019 19:39:05;OD600;1;11;1;5
26-11-2019 19:41:14;OD450;1;11;1;5
26-11-2019 19:48:49;OD600;3;11;2;5
26-11-2019 19:50:58;OD450;3;11;2;5
26-11-2019 20:21:13;OD600;1;12;3;5
26-11-2019 20:23:22;OD450;1;12;3;5
26-11-2019 20:57:08;OD600;1;13;4;5
26-11-2019 20:59:18;OD450;1;13;4;5
26-11-2019 21:33:55;OD600;1;14;1;5
26-11-2019 21:36:04;OD450;1;14;1;5
26-11-2019 22:09:44;OD600;1;15;2;5
26-11-2019 22:11:53;OD450;1;15;2;5
26-11-2019 22:45:36;OD600;1;16;3;5
26-11-2019 22:47:45;OD450;1;16;3;5
26-11-2019 23:21:25;OD600;1;17;4;5
26-11-2019 23:23:35;OD450;1;17;4;5
26-11-2019 23:50:25;Experiment Finished;;28;
