Evaluation Time;Measurement Type;Bioshaker Processed;Sampling ID;Quadrant Used in Reading Plate;Evaluated File;Average Measured
01-09-2020 11:33:56;OD600;1;1;1;C:\Tecan\Assays\Data\OD600_2020_09_01_11_31_47.xlsx;-4,49999701231718E-03
01-09-2020 11:42:29;OD600;2;1;2;C:\Tecan\Assays\Data\OD600_2020_09_01_11_40_20.xlsx;-3,49998939782381E-03
01-09-2020 12:37:23;OD600;1;2;3;C:\Tecan\Assays\Data\OD600_2020_09_01_12_35_14.xlsx;0
01-09-2020 12:48:00;OD600;2;2;4;C:\Tecan\Assays\Data\OD600_2020_09_01_12_45_51.xlsx;-3,99999786168337E-03
01-09-2020 13:43:44;OD600;1;3;1;C:\Tecan\Assays\Data\OD600_2020_09_01_13_41_35.xlsx;-3,37499659508467E-03
01-09-2020 13:52:17;OD600;2;3;2;C:\Tecan\Assays\Data\OD600_2020_09_01_13_50_08.xlsx;-1,00000016391277E-02
01-09-2020 14:47:08;OD600;1;4;3;C:\Tecan\Assays\Data\OD600_2020_09_01_14_44_59.xlsx;-5,62499742954969E-03
01-09-2020 14:57:40;OD600;2;4;4;C:\Tecan\Assays\Data\OD600_2020_09_01_14_55_31.xlsx;-2,87499278783798E-03
01-09-2020 15:51:26;OD600;1;5;1;C:\Tecan\Assays\Data\OD600_2020_09_01_15_49_17.xlsx;0,754250027239323
01-09-2020 16:02:02;OD600;2;5;2;C:\Tecan\Assays\Data\OD600_2020_09_01_15_59_53.xlsx;3,74997034668922E-04
01-09-2020 16:56:54;OD600;1;6;3;C:\Tecan\Assays\Data\OD600_2020_09_01_16_54_45.xlsx;1,07937502674758
01-09-2020 17:05:29;OD600;2;6;4;C:\Tecan\Assays\Data\OD600_2020_09_01_17_03_20.xlsx;5,00000081956387E-03
01-09-2020 18:01:18;OD600;1;7;1;C:\Tecan\Assays\Data\OD600_2020_09_01_17_59_09.xlsx;1,27500016242266E-02
01-09-2020 18:09:49;OD600;2;7;2;C:\Tecan\Assays\Data\OD600_2020_09_01_18_07_40.xlsx;4,62499912828207E-03
01-09-2020 19:06:46;OD600;1;8;3;C:\Tecan\Assays\Data\OD600_2020_09_01_19_04_37.xlsx;-6,24987296760082E-04
01-09-2020 19:15:20;OD600;2;8;4;C:\Tecan\Assays\Data\OD600_2020_09_01_19_13_11.xlsx;1,88750028610229E-02
01-09-2020 20:11:08;OD600;1;9;1;C:\Tecan\Assays\Data\OD600_2020_09_01_20_08_59.xlsx;1,23125001788139
01-09-2020 20:19:41;OD600;2;9;2;C:\Tecan\Assays\Data\OD600_2020_09_01_20_17_32.xlsx;3,44999972730875E-02
01-09-2020 21:14:32;OD600;1;10;3;C:\Tecan\Assays\Data\OD600_2020_09_01_21_12_23.xlsx;1,03749986737967E-02
01-09-2020 21:23:04;OD600;2;10;4;C:\Tecan\Assays\Data\OD600_2020_09_01_21_20_56.xlsx;5,67500060424209E-02
01-09-2020 22:20:55;OD600;1;11;1;C:\Tecan\Assays\Data\OD600_2020_09_01_22_18_46.xlsx;1,62499956786633E-02
01-09-2020 22:29:27;OD600;2;11;2;C:\Tecan\Assays\Data\OD600_2020_09_01_22_27_19.xlsx;0,102249998599291
01-09-2020 23:24:18;OD600;1;12;3;C:\Tecan\Assays\Data\OD600_2020_09_01_23_22_09.xlsx;1,95012504700571
01-09-2020 23:34:53;OD600;2;12;4;C:\Tecan\Assays\Data\OD600_2020_09_01_23_32_44.xlsx;0,155499996617436
02-09-2020 00:30:47;OD600;1;13;1;C:\Tecan\Assays\Data\OD600_2020_09_02_00_28_38.xlsx;2,63749994337559E-02
02-09-2020 00:39:20;OD600;2;13;2;C:\Tecan\Assays\Data\OD600_2020_09_02_00_37_12.xlsx;0,243375007994473
02-09-2020 01:34:18;OD600;1;14;3;C:\Tecan\Assays\Data\OD600_2020_09_02_01_32_09.xlsx;3,39999888092279E-02
02-09-2020 01:44:52;OD600;2;14;4;C:\Tecan\Assays\Data\OD600_2020_09_02_01_42_43.xlsx;0,383875011466444
02-09-2020 02:40:39;OD600;1;15;1;C:\Tecan\Assays\Data\OD600_2020_09_02_02_38_30.xlsx;1,70774999540299
02-09-2020 02:49:13;OD600;2;15;2;C:\Tecan\Assays\Data\OD600_2020_09_02_02_47_04.xlsx;0,553750018589199
02-09-2020 03:44:03;OD600;1;16;3;C:\Tecan\Assays\Data\OD600_2020_09_02_03_41_54.xlsx;0,09937500115484
02-09-2020 03:54:37;OD600;2;16;4;C:\Tecan\Assays\Data\OD600_2020_09_02_03_52_28.xlsx;0,614499989897013
02-09-2020 04:48:29;OD600;1;17;1;C:\Tecan\Assays\Data\OD600_2020_09_02_04_46_20.xlsx;1,05962500907481
02-09-2020 04:59:03;OD600;2;17;2;C:\Tecan\Assays\Data\OD600_2020_09_02_04_56_54.xlsx;0,638624974526465
02-09-2020 05:53:59;OD600;1;18;3;C:\Tecan\Assays\Data\OD600_2020_09_02_05_51_50.xlsx;0,684374971315265
02-09-2020 06:02:32;OD600;2;18;4;C:\Tecan\Assays\Data\OD600_2020_09_02_06_00_24.xlsx;0,67399999126792
02-09-2020 06:58:21;OD600;1;19;1;C:\Tecan\Assays\Data\OD600_2020_09_02_06_56_12.xlsx;3,98949996568263
02-09-2020 07:06:53;OD600;2;19;2;C:\Tecan\Assays\Data\OD600_2020_09_02_07_04_45.xlsx;0,948125030845404
02-09-2020 08:03:47;OD600;1;20;3;C:\Tecan\Assays\Data\OD600_2020_09_02_08_01_38.xlsx;4,37149983365089
02-09-2020 08:12:21;OD600;2;20;4;C:\Tecan\Assays\Data\OD600_2020_09_02_08_10_12.xlsx;0,953624993562698
02-09-2020 09:08:05;OD600;1;21;1;C:\Tecan\Assays\Data\OD600_2020_09_02_09_05_56.xlsx;3,14175012055784
02-09-2020 09:16:37;OD600;2;21;2;C:\Tecan\Assays\Data\OD600_2020_09_02_09_14_28.xlsx;1,08850003220141
02-09-2020 10:11:27;OD600;1;22;3;C:\Tecan\Assays\Data\OD600_2020_09_02_10_09_18.xlsx;-1,87499914318323E-03
02-09-2020 10:20:01;OD600;2;22;4;C:\Tecan\Assays\Data\OD600_2020_09_02_10_17_52.xlsx;1,21637504547834
02-09-2020 11:17:52;OD600;1;23;1;C:\Tecan\Assays\Data\OD600_2020_09_02_11_15_43.xlsx;-3,62500548362732E-03
02-09-2020 11:26:26;OD600;2;23;2;C:\Tecan\Assays\Data\OD600_2020_09_02_11_24_17.xlsx;1,69112496078014
