Evaluation Time for status;Bioshaker Processed;Filter Plate ID;Target OD for Metabolomics;Average Measured;Ready Or Not
01-09-2020 11:36:28;1;1;100;-4,49999701231718E-03;0
01-09-2020 11:45:00;2;1;100;-3,49998939782381E-03;0
01-09-2020 12:39:55;1;1;100;0;0
01-09-2020 12:50:31;2;1;100;-3,99999786168337E-03;0
01-09-2020 13:46:15;1;1;100;-3,37499659508467E-03;0
01-09-2020 13:54:49;2;1;100;-1,00000016391277E-02;0
01-09-2020 14:49:39;1;1;100;-5,62499742954969E-03;0
01-09-2020 15:00:12;2;1;100;-2,87499278783798E-03;0
01-09-2020 15:53:58;1;1;100;0,754250027239323;0
01-09-2020 16:04:34;2;1;100;3,74997034668922E-04;0
01-09-2020 16:59:26;1;1;100;1,07937502674758;0
01-09-2020 17:08:01;2;1;100;5,00000081956387E-03;0
01-09-2020 18:03:49;1;1;100;1,27500016242266E-02;0
01-09-2020 18:12:20;2;1;100;4,62499912828207E-03;0
01-09-2020 19:09:17;1;1;100;-6,24987296760082E-04;0
01-09-2020 19:17:51;2;1;100;1,88750028610229E-02;0
01-09-2020 20:13:40;1;1;100;1,23125001788139;0
01-09-2020 20:22:12;2;1;100;3,44999972730875E-02;0
01-09-2020 21:17:04;1;1;100;1,03749986737967E-02;0
01-09-2020 21:25:36;2;1;100;5,67500060424209E-02;0
01-09-2020 22:23:27;1;1;100;1,62499956786633E-02;0
01-09-2020 22:31:59;2;1;100;0,102249998599291;0
01-09-2020 23:26:49;1;1;100;1,95012504700571;0
01-09-2020 23:37:25;2;1;100;0,155499996617436;0
02-09-2020 00:33:19;1;1;100;2,63749994337559E-02;0
02-09-2020 00:41:52;2;1;100;0,243375007994473;0
02-09-2020 01:36:50;1;1;100;3,39999888092279E-02;0
02-09-2020 01:47:24;2;1;100;0,383875011466444;0
02-09-2020 02:43:11;1;1;100;1,70774999540299;0
02-09-2020 02:51:44;2;1;100;0,553750018589199;0
02-09-2020 03:46:35;1;1;100;0,09937500115484;0
02-09-2020 03:57:09;2;1;100;0,614499989897013;0
02-09-2020 04:51:00;1;1;100;1,05962500907481;0
02-09-2020 05:01:35;2;1;100;0,638624974526465;0
02-09-2020 05:56:31;1;1;100;0,684374971315265;0
02-09-2020 06:05:04;2;1;100;0,67399999126792;0
02-09-2020 07:00:53;1;1;100;3,98949996568263;0
02-09-2020 07:09:25;2;1;100;0,948125030845404;0
02-09-2020 08:06:19;1;1;100;4,37149983365089;0
02-09-2020 08:14:53;2;1;100;0,953624993562698;0
02-09-2020 09:10:37;1;1;100;3,14175012055784;0
02-09-2020 09:19:09;2;1;100;1,08850003220141;0
02-09-2020 10:13:59;1;1;100;-1,87499914318323E-03;0
02-09-2020 10:22:33;2;1;100;1,21637504547834;0
02-09-2020 11:20:24;1;1;100;-3,62500548362732E-03;0
02-09-2020 11:28:58;2;1;100;1,69112496078014;0
